hip,hd,bayer,flam,con,mag,dist
75312,137107,Eta,2,CrB,4.99,17.8635
75323,136415,Gam,,Cir,4.48,137.5516
75342,137006,,8,Ser,6.11,51.1247
75379,137052,Eps,31,Lib,4.92,31.2305
75411,137391,Mu-1,51,Boo,4.31,34.6861
75415,137392,Mu-2,51,Boo,6.51,36.062
75439,136933,Ups,,Lup,5.36,124.6883
75458,137759,Iot,12,Dra,3.29,31.027
75530,137471,Tau-1,9,Ser,5.16,211.4165
75695,137909,Bet,3,CrB,3.66,34.2818
75730,137744,Zet-1,32,Lib,5.64,240.3846
75761,137898,,10,Ser,5.15,39.7456
75848,137949,,33,Lib,6.69,88.6525
75944,138137,Zet-3,34,Lib,5.82,155.7632
75973,138481,Nu-1,52,Boo,5.04,257.0694
76008,139669,The,15,UMi,5.0,262.4672
76013,137387,Kap-1,,Aps,5.4,380.2281
76041,138629,Nu-2,53,Boo,4.98,119.0476
76069,138527,Tau-2,12,Ser,6.22,143.8849
76126,138485,Zet-4,35,Lib,5.53,201.2072
76127,138749,The,4,CrB,4.14,115.0748
76133,138562,,11,Ser,5.5,85.9107
76219,138716,,37,Lib,4.61,28.9268
76259,138688,,36,Lib,5.13,97.561
76267,139006,Alp,5,CrB,2.22,23.0097
76276,138917,Del,13,Ser,3.8,69.9301
76297,138690,Gam,,Lup,2.8,129.0323
76307,139153,Mu,6,CrB,5.14,189.7533
76333,138905,Gam,38,Lib,3.91,50.025
76337,139074,Tau-3,15,Ser,6.1,116.2791
76423,139216,Tau-4,17,Ser,6.51,205.7613
76424,139225,Tau-5,18,Ser,5.93,52.0562
76425,139195,,16,Ser,5.26,70.8717
76427,139137,,14,Ser,6.51,145.3488
76440,138538,Eps,,TrA,4.11,61.8429
76470,139063,Ups,39,Lib,3.6,68.5871
76534,139641,Phi,54,Boo,5.25,52.0291
76552,139127,Ome,,Lup,4.34,67.0241
76600,139365,Tau,40,Lib,3.66,112.4859
76628,139446,,41,Lib,5.36,95.4198
76669,139891,Zet-1,7,CrB,4.64,145.1379
76695,141652,,18,UMi,6.89,120.048
76705,139521,Psi-1,3,Lup,4.66,67.3401
76742,139663,,42,Lib,4.97,117.2333
76750,138800,Kap-2,,Aps,5.64,239.2344
76810,140027,Tau-6,19,Ser,6.0,185.8736
76852,140159,Iot,21,Ser,4.51,58.2751
76866,140160,Chi,20,Ser,5.34,67.3854
76878,140232,Tau-7,22,Ser,5.8,53.0786
76880,139997,Kap,43,Lib,4.75,94.6074
76945,140008,Psi-2,4,Lup,4.75,111.4827
76952,140436,Gam,8,CrB,3.81,44.7828
76996,137333,Rho,,Oct,5.57,66.1376
77048,140716,Pi,9,CrB,5.57,74.6269
77052,140538,Psi,23,Ser,5.86,14.6585
77055,142105,Zet,16,UMi,4.29,113.1222
77060,140417,Eta,44,Lib,5.41,45.7457
77070,140573,Alp,24,Ser,2.63,22.6757
77111,140729,Tau-8,26,Ser,6.15,113.6364
77227,140873,,25,Ser,5.39,137.931
77233,141003,Bet,28,Ser,3.65,47.5511
77249,141040,,29,Ser,6.7,232.5581
77257,141004,Lam,27,Ser,4.42,12.1242
77336,141187,Ups,31,Ser,5.71,76.6871
77450,141477,Kap,35,Ser,4.09,117.096
77512,141714,Del,10,CrB,4.59,52.1376
